[2025-06-09 22:10:51,245] [INFO] Appended 268 name: Điện thoại TCL 60 NXTPaper 8GB/256GB, url: https://www.thegioididong.com/dtdd/tcl-60-nxtpaper
[2025-06-09 22:10:51,267] [INFO] Appended 269 name: Điện thoại OPPO Reno12 Pro 5G 12GB/512GB, url: https://www.thegioididong.com/dtdd/oppo-reno12-pro
[2025-06-09 22:10:51,286] [INFO] Appended 270 name: Điện thoại realme 12 8GB/256GB, url: https://www.thegioididong.com/dtdd/realme-12
[2025-06-09 22:10:51,315] [INFO] Appended 273 name: Điện thoại OPPO Reno12 5G 12GB/256GB Hồng, url: https://www.thegioididong.com/dtdd/oppo-reno12-5g-12gb-256gb-hong
[2025-06-09 22:10:51,331] [INFO] Appended 274 name: Điện thoại OPPO Find N3 Flip 5G 12GB/256GB Hồng, url: https://www.thegioididong.com/dtdd/oppo-find-n3-flip-hong
[2025-06-09 22:10:51,361] [INFO] Appended 277 name: Điện thoại HONOR 200 5G 12GB/256GB, url: https://www.thegioididong.com/dtdd/honor-200-12gb-256gb
[2025-06-09 22:10:51,379] [INFO] Appended 278 name: Điện thoại OPPO Find N3 5G 16GB/512GB, url: https://www.thegioididong.com/dtdd/oppo-find-n3
[2025-06-09 22:10:51,400] [INFO] Appended 279 name: Điện thoại iPhone 14 Plus 256GB, url: https://www.thegioididong.com/dtdd/iphone-14-plus-256gb
[2025-06-09 22:10:51,432] [INFO] Appended 282 name: Điện thoại OPPO Reno12 F 5G 12GB/256GB, url: https://www.thegioididong.com/dtdd/oppo-reno12-f-5g-12gb-256gb
[2025-06-09 22:10:51,462] [INFO] Appended 285 name: Điện thoại Samsung Galaxy A55 5G 12GB/256GB, url: https://www.thegioididong.com/dtdd/samsung-galaxy-a55-5g
[2025-06-09 22:10:51,496] [INFO] Appended 288 name: Điện thoại Tecno Spark 30 5G 6GB/128GB, url: https://www.thegioididong.com/dtdd/tecno-spark-30-5g
[2025-06-09 22:10:51,515] [INFO] Appended 289 name: Điện thoại HONOR Magic V3 5G 12GB/512GB, url: https://www.thegioididong.com/dtdd/honor-magic-v3
[2025-06-09 22:10:51,532] [INFO] Appended 290 name: Điện thoại iPhone 15 Pro 1TB, url: https://www.thegioididong.com/dtdd/iphone-15-pro-1tb
[2025-06-09 22:10:51,549] [INFO] Appended 291 name: Điện thoại OPPO A38 6GB/128GB, url: https://www.thegioididong.com/dtdd/oppo-a38-6gb
[2025-06-09 22:10:51,567] [INFO] Appended 292 name: Điện thoại Samsung Galaxy M15 5G 6GB/128GB, url: https://www.thegioididong.com/dtdd/samsung-galaxy-m15
